1,1,124.02,333.52,131.69,59.379999999999995,1,1,1.0
1,2,734.26,266.38,71.44000000000005,37.870000000000005,1,1,1.0
1,3,210.26,250.65,94.26999999999998,40.70000000000002,1,1,1.0
2,1,99.27,337.39,134.06,59.81,1,1,1.0
2,2,720.2,268.1,72.87,38.73999999999995,1,1,1.0
2,3,210.26,250.73,94.26999999999998,40.690000000000026,1,1,1.0
3,1,74.51,341.26,136.44,60.24000000000001,1,1,1.0
3,2,706.14,269.82,74.28999999999996,39.60000000000002,1,1,1.0
3,3,210.26,250.81,94.26999999999998,40.670000000000016,1,1,1.0
4,1,49.76,345.14,138.82000000000002,60.660000000000025,1,1,1.0
4,2,692.08,271.55,75.71999999999991,40.44999999999999,1,1,1.0
4,3,210.26,250.89,94.26999999999998,40.660000000000025,1,1,1.0
5,1,25.0,349.01,141.2,61.09000000000003,1,1,1.0
5,2,678.03,273.55,76.57000000000005,40.45999999999998,1,1,1.0
5,3,210.26,250.97,94.26999999999998,40.640000000000015,1,1,1.0
6,1,0.0,352.45,143.53,62.81999999999999,1,1,1.0
6,2,663.97,275.56,77.42999999999995,40.45999999999998,1,1,1.0
6,3,210.26,251.05,94.26999999999998,40.629999999999995,1,1,1.0
7,1,0.0,355.9,120.87,64.53000000000003,1,1,1.0
7,2,649.91,277.57,78.29000000000008,40.44999999999999,1,1,1.0
7,3,210.26,251.13,94.26999999999998,40.610000000000014,1,1,1.0
8,1,0.0,359.34,98.2,66.26000000000005,1,1,1.0
8,2,634.42,279.29,79.75,41.329999999999984,1,1,1.0
8,3,210.26,251.22,94.26999999999998,40.58000000000001,1,1,1.0
9,1,0.0,362.78,73.65,63.27000000000004,1,1,1.0
9,2,618.93,281.01,81.20000000000005,42.19999999999999,1,1,1.0
9,3,210.26,251.3,94.26999999999998,40.56999999999999,1,1,1.0
10,2,603.43,282.73,82.67000000000007,43.06999999999999,1,1,1.0
10,3,210.26,251.38,94.26999999999998,40.55000000000001,1,1,1.0
11,2,588.37,284.46,83.52999999999997,44.14000000000004,1,1,1.0
11,3,210.26,251.46,94.26999999999998,40.53999999999999,1,1,1.0
12,2,573.31,286.18,84.3900000000001,45.21999999999997,1,1,1.0
12,3,210.26,251.54,94.26999999999998,40.52000000000001,1,1,1.0
13,2,558.25,287.9,85.25,46.30000000000001,1,1,1.0
13,3,210.26,251.62,94.26999999999998,40.50999999999999,1,1,1.0
14,2,543.18,289.62,86.12,47.379999999999995,1,1,1.0
14,3,210.26,251.7,94.26999999999998,40.49000000000001,1,1,1.0
15,2,526.83,291.34,88.71999999999991,49.51000000000005,1,1,1.0
15,3,210.26,251.78,94.26999999999998,40.47,1,1,1.0
16,2,510.48,293.06,91.31999999999994,51.639999999999986,1,1,1.0
